column_name,data_type,null_count,null_pct,unique_count,min,max,mean,std,corr_with_depl_eqv_qty
DATE_WK_DT,datetime64[ns],0,0.0,125,2023-01-02 00:00:00,2025-05-19 00:00:00,,,
DIST_CD,object,0,0.0,446,,,,,
PRODUCT_CD,object,0,0.0,4,,,,,
DEPL_EQV_QTY,float64,0,0.0,2268,-57330.0,60210.0,15.601577427787248,104.62892614791389,
DEPL_PODS,int64,0,0.0,2,0,1,0.9959033628648349,0.06387374355072355,0.04610116522481164
STORE_SRC_CD,object,0,0.0,135548,,,,,
STORE_CD,object,37557,0.38,135314,,,,,
PREMISE_TYPE_CD,object,37557,0.38,3,,,,,
PREMISE_TYPE_DSC,object,37557,0.38,3,,,,,
DIV_CD,object,0,0.0,1,,,,,
SEG_CD,object,0,0.0,1,,,,,
BEV_SEG_CD,object,0,0.0,1,,,,,
PRODUCT_TYPE_CD,object,0,0.0,1,,,,,
CATEGORY_CD,object,0,0.0,1,,,,,
CATEGORY_DSC,object,0,0.0,1,,,,,
MASTER_SKU_CD,object,0,0.0,4,,,,,
DISCONTINUED_SKU_FLG,object,0,0.0,1,,,,,
PRODUCT_ACTIVE_FLG,object,0,0.0,1,,,,,
lag_2wk_depl_eqv_qty,float64,3294,0.03,2268,-57330.0,60210.0,15.602868995304199,104.64084202438943,-0.014337164744801904
rolling_4wk_eqv_avg,float64,0,0.0,7688,-14329.75,15188.75,15.601428322674446,52.43758796499716,0.4988991378979792
weekly_store_count,int64,0,0.0,1141,1,1893,273.7626166292503,301.57236113418617,0.013750560412600204
rolling_store_ct_4wk,float64,0,0.0,4400,1.0,1893.0,273.76616312232244,301.5633449733516,0.013748175154317775
